x,y
472.8555889860917,-89.33113312782648
474.1733737627839,-84.50147963214846
475.49814755496726,-79.67431864428164
476.827475426752,-74.84901718237637
478.16279460519456,-70.02592532093188
479.50167107359124,-65.20440513412076
480.84554355047936,-60.38481017368137
482.1919773818573,-55.56650052012485
483.5017473964265,-50.73932636298682
484.78017958236387,-45.904589207730574
486.060664845297,-41.07090331121289
487.3426996786762,-36.23815039454703
488.62578255601903,-31.40621093595476
489.90940950780146,-26.57496393286059
491.193080383872,-21.74429272490862
492.47629033125065,-16.914077137283833
493.7585407953275,-12.084196458380267
495.03933473147606,-7.254507455608001
496.31828079865716,-2.4246929781164472
497.59538524852394,2.405527021256204
498.8707709223826,7.236211557584538
500.14454146426414,12.067343703252462
501.4168003791706,16.898901960037605
502.68765106373246,21.730867375136768
503.9571969564954,26.563221124513156
505.2255405583867,31.395942594330766
506.47341177997174,36.2339794254462
507.71737958645855,41.07308245211131
508.9604529124911,45.912487559988854
510.20176858249164,50.75242533419122
511.4433651745441,55.592382184280865
512.6834111242234,60.43283509612476
513.9239467144631,65.27327027501423
515.1631373066468,70.11416536688083
516.4030257814945,74.95500886774131
517.6417779207306,79.79627510460153
518.8814336933345,84.63745186985227
520.1201611337694,89.47901643155538
521.360000015967,94.32045676930238
522.6000865883419,99.16200187983905
523.839555547754,104.00387957517592
525.0804468366035,108.8455774225945
526.3209286783839,113.68757430979157
527.5630407170681,118.52935558772543
528.8049483738566,123.37139105527372
530.0486635301172,128.21312601002478
531.292246797246,133.05500585990666
532.537628730003,137.89651393440658
533.782862661248,142.73813466970225
535.0298780984076,147.579359025181
536.2776994729899,152.420423756193
537.5253511628609,157.26156540943495
538.7747621330997,162.10227483113934
540.0239875306696,166.9430366286014
541.274957211916,171.7833422249267
542.5257264038493,176.6236765376856
543.778224694717,181.46352994974535
